079D-0000-0351-17E2	expert	marioBros3	NolramImpro	Apocalipse 14:12	https://dypqnhofrd2x2.cloudfront.net/079D-0000-0351-17E2.jpg	https://dypqnhofrd2x2.cloudfront.net/079D-0000-0351-17E2_full.jpg	2017-08-11 00:00:00
07CD-0000-030D-EA60	expert	marioBrosU	igorsssa	Dangerous Ship Fantasy	https://dypqnhofrd2x2.cloudfront.net/07CD-0000-030D-EA60.jpg	https://dypqnhofrd2x2.cloudfront.net/07CD-0000-030D-EA60_full.jpg	2017-03-11 00:00:00
07F7-0000-030F-A51B	superExpert	marioWorld	Wiggle133	Pow-Ing (Speedrun) (^o^)	https://dypqnhofrd2x2.cloudfront.net/07F7-0000-030F-A51B.jpg	https://dypqnhofrd2x2.cloudfront.net/07F7-0000-030F-A51B_full.jpg	2017-03-14 00:00:00
080E-0000-0307-A394	expert	marioBros	vitorotavio	desafios radcore	https://dypqnhofrd2x2.cloudfront.net/080E-0000-0307-A394.jpg	https://dypqnhofrd2x2.cloudfront.net/080E-0000-0307-A394_full.jpg	2017-02-26 00:00:00
082F-0000-0358-A218	normal	marioBros3	CaptainToad4444	Goodbye Miiverse...	https://dypqnhofrd2x2.cloudfront.net/082F-0000-0358-A218.jpg	https://dypqnhofrd2x2.cloudfront.net/082F-0000-0358-A218_full.jpg	2017-08-29 00:00:00
0830-0000-0353-D322	normal	marioWorld	yasmedice	Track of the hills	https://dypqnhofrd2x2.cloudfront.net/0830-0000-0353-D322.jpg	https://dypqnhofrd2x2.cloudfront.net/0830-0000-0353-D322_full.jpg	2017-08-17 00:00:00
0833-0000-0357-690F	easy	marioBros3	portugueses000	Hiper-Quiz	https://dypqnhofrd2x2.cloudfront.net/0833-0000-0357-690F.jpg	https://dypqnhofrd2x2.cloudfront.net/0833-0000-0357-690F_full.jpg	2017-08-26 00:00:00
085F-0000-0364-6DA1	normal	marioWorld	Mgamer762	Mario and yoshi adventure	https://dypqnhofrd2x2.cloudfront.net/085F-0000-0364-6DA1.jpg	https://dypqnhofrd2x2.cloudfront.net/085F-0000-0364-6DA1_full.jpg	2017-10-07 00:00:00
0861-0000-0353-6FC4	normal	marioBrosU	gabrielkomljan	super mario bros 4  1-1	https://dypqnhofrd2x2.cloudfront.net/0861-0000-0353-6FC4.jpg	https://dypqnhofrd2x2.cloudfront.net/0861-0000-0353-6FC4_full.jpg	2017-08-16 00:00:00
0873-0000-033C-96A6	normal	marioBrosU	marcelodosjogos	level1 gubrixi	https://dypqnhofrd2x2.cloudfront.net/0873-0000-033C-96A6.jpg	https://dypqnhofrd2x2.cloudfront.net/0873-0000-033C-96A6_full.jpg	2017-06-22 00:00:00
0880-0000-0341-CA17	normal	marioWorld	guilherme2007	nu sei	https://dypqnhofrd2x2.cloudfront.net/0880-0000-0341-CA17.jpg	https://dypqnhofrd2x2.cloudfront.net/0880-0000-0341-CA17_full.jpg	2017-07-06 00:00:00
08AC-0000-0303-AB1D	easy	marioWorld	maira78	salve o lucas	https://dypqnhofrd2x2.cloudfront.net/08AC-0000-0303-AB1D.jpg	https://dypqnhofrd2x2.cloudfront.net/08AC-0000-0303-AB1D_full.jpg	2017-02-19 00:00:00
08AF-0000-030D-BD5F	normal	marioBrosU	umbelina	Crasy Level	https://dypqnhofrd2x2.cloudfront.net/08AF-0000-030D-BD5F.jpg	https://dypqnhofrd2x2.cloudfront.net/08AF-0000-030D-BD5F_full.jpg	2017-03-11 00:00:00
090E-0000-0316-8159	normal	marioBros	vicentex3110	aventura do toud	https://dypqnhofrd2x2.cloudfront.net/090E-0000-0316-8159.jpg	https://dypqnhofrd2x2.cloudfront.net/090E-0000-0316-8159_full.jpg	2017-03-26 00:00:00
091D-0000-035D-58F2	expert	marioWorld	dimitreeey	2: Bowser's EPIC FIGHT!	https://dypqnhofrd2x2.cloudfront.net/091D-0000-035D-58F2.jpg	https://dypqnhofrd2x2.cloudfront.net/091D-0000-035D-58F2_full.jpg	2017-09-13 00:00:00
0927-0000-0348-8478	superExpert	marioBrosU	TicoTecoTaco	Palmitos Assombrados	https://dypqnhofrd2x2.cloudfront.net/0927-0000-0348-8478.jpg	https://dypqnhofrd2x2.cloudfront.net/0927-0000-0348-8478_full.jpg	2017-07-22 00:00:00
0934-0000-034B-65DE	normal	marioBros	lukengl	Yoshi's Adventure 2: The Madness	https://dypqnhofrd2x2.cloudfront.net/0934-0000-034B-65DE.jpg	https://dypqnhofrd2x2.cloudfront.net/0934-0000-034B-65DE_full.jpg	2017-07-29 00:00:00
093A-0000-0358-2EA9	normal	marioBrosU	gugudaemon	imposing	https://dypqnhofrd2x2.cloudfront.net/093A-0000-0358-2EA9.jpg	https://dypqnhofrd2x2.cloudfront.net/093A-0000-0358-2EA9_full.jpg	2017-08-28 00:00:00
0967-0000-034B-4970	easy	marioWorld	dellymaia	the automatic rollecoaster	https://dypqnhofrd2x2.cloudfront.net/0967-0000-034B-4970.jpg	https://dypqnhofrd2x2.cloudfront.net/0967-0000-034B-4970_full.jpg	2017-07-28 00:00:00
097B-0000-032D-69C1	expert	marioWorld	Yannmtalavera	Simple ghost house...	https://dypqnhofrd2x2.cloudfront.net/097B-0000-032D-69C1.jpg	https://dypqnhofrd2x2.cloudfront.net/097B-0000-032D-69C1_full.jpg	2017-05-12 00:00:00
097D-0000-033E-4E04	superExpert	marioBros3	adsosabado	One Block Challenge 3	https://dypqnhofrd2x2.cloudfront.net/097D-0000-033E-4E04.jpg	https://dypqnhofrd2x2.cloudfront.net/097D-0000-033E-4E04_full.jpg	2017-06-26 00:00:00
0983-0000-0351-C92F	normal	marioBrosU	Heitor2009	FASE PARA O EDU	https://dypqnhofrd2x2.cloudfront.net/0983-0000-0351-C92F.jpg	https://dypqnhofrd2x2.cloudfront.net/0983-0000-0351-C92F_full.jpg	2017-08-12 00:00:00
0992-0000-032D-600C	normal	marioWorld	venenozoboss	5 anos LL	https://dypqnhofrd2x2.cloudfront.net/0992-0000-032D-600C.jpg	https://dypqnhofrd2x2.cloudfront.net/0992-0000-032D-600C_full.jpg	2017-05-12 00:00:00
0994-0000-0322-B63E	expert	marioBros3	Bibibombinha	Ice Castle	https://dypqnhofrd2x2.cloudfront.net/0994-0000-0322-B63E.jpg	https://dypqnhofrd2x2.cloudfront.net/0994-0000-0322-B63E_full.jpg	2017-04-16 00:00:00
09AC-0000-034B-982B	normal	marioBrosU	bonne02	castelo do bowser	https://dypqnhofrd2x2.cloudfront.net/09AC-0000-034B-982B.jpg	https://dypqnhofrd2x2.cloudfront.net/09AC-0000-034B-982B_full.jpg	2017-07-29 00:00:00
