0A0A-AAAA-00AA-AD1A	2017-12-18 15:35:29.015	15482
0A0A-AAAA-00AA-AD1B	2018-03-02 10:09:32.392	9265
0A0A-AAAA-00AA-AD1C	2017-12-18 15:47:40.665	6692
0A0A-AAAA-00AA-AD1D	2018-02-23 15:02:20.557	40383
0A0A-AAAA-00AA-AD1E	2018-02-23 15:05:16.414	1533
0A0A-AAAA-00AA-AD1F	2018-02-23 14:54:58.482	105901
0A0A-AAAA-00AA-AD1G	2018-02-23 14:41:45.41	12880
0A0A-AAAA-00AA-AD1H	2018-02-23 14:55:16.325	2259
0A0A-AAAA-00AA-AD1I	2017-12-18 15:49:47.057	25679
0A0A-AAAA-00AA-AD1J	2017-12-18 15:56:53.096	4946
0A0A-AAAA-00AA-AD1K	2018-03-02 10:22:00.525	24634
0A0A-AAAA-00AA-AD1L	2018-02-23 14:51:54.047	20380
0A0A-AAAA-00AA-AD1M	2018-02-23 15:04:56.78	54415
0A0A-AAAA-00AA-AD1N	2018-03-02 10:19:40.415	6221
0A0A-AAAA-00AA-AD1O	2018-02-23 14:47:50.094	24393
0A0A-AAAA-00AA-AD1P	2018-03-02 10:20:46.284	63331
0A0A-AAAA-00AA-AD1Q	2018-03-02 10:18:25.544	26073
0A0A-AAAA-00AA-AD1R	2018-03-02 10:14:04.298	19026
0A0A-AAAA-00AA-AD1S	2018-03-02 10:29:15.345	14583
0A0A-AAAA-00AA-AD1T	2018-02-23 14:54:09.465	37085
0A0A-AAAA-00AA-AD1U	2017-12-18 15:45:55.344	34744
0A0A-AAAA-00AA-AD1V	2017-12-18 15:50:50.369	116418
0A0A-AAAA-00AA-AD1W	2018-02-23 15:20:27.914	21851
0A0A-AAAA-00AA-AD1X	2018-02-23 14:52:48.083	91397
0A0A-AAAA-00AA-AD1Y	2017-12-18 15:56:29.761	83434
0A0A-AAAA-00AA-AD1Z	2018-03-02 09:59:43.721	97600
0A0A-AAAA-00AB-AD1A	2017-12-18 16:24:31.7	45262
0A0A-AAAA-00AB-AD1B	2018-03-02 09:59:26.744	6356
0A0A-AAAA-00AB-AD1C	2018-03-02 10:05:42.538	10470
0A0A-AAAA-00AB-AD1D	2018-02-23 14:55:19.634	51449
0A0A-AAAA-00AB-AD1E	2018-03-02 10:16:10.866	234149
0A0A-AAAA-00AB-AD1F	2017-12-18 15:38:31.447	19413
0A0A-AAAA-00AB-AD1G	2018-02-23 14:55:14.134	22364
0A0A-AAAA-00AB-AD1H	2018-02-23 15:04:26.212	9845
0A0A-AAAA-00AB-AD1I	2018-02-23 14:57:23.849	21167
0A0A-AAAA-00AB-AD1J	2017-12-18 16:07:50.238	24943
0A0A-AAAA-00AB-AD1K	2017-12-18 15:59:06.5	76617
0A0A-AAAA-00AB-AD1L	2018-03-02 11:06:38.218	24497
0A0A-AAAA-00AB-AD1M	2018-03-02 10:26:36.443	44345
0A0A-AAAA-00AB-AD1N	2018-03-02 10:02:19.18	121983
0A0A-AAAA-00AB-AD1O	2017-11-16 15:48:47.709	39285
0A0A-AAAA-00AB-AD1P	2018-03-02 10:18:37.527	96863
0A0A-AAAA-00AB-AD1Q	2018-02-23 14:50:34.207	15990
0A0A-AAAA-00AB-AD1R	2018-02-23 14:44:03.077	22860
0A0A-AAAA-00AB-AD1S	2017-12-18 16:24:41.606	23912
0A0A-AAAA-00AB-AD1T	2018-03-02 10:04:47.317	28702
0A0A-AAAA-00AB-AD1U	2018-02-23 15:12:39.072	19491
0A0A-AAAA-00AB-AD1V	2018-02-23 15:07:48.204	16483
0A0A-AAAA-00AB-AD1W	2018-02-23 14:57:09.482	24134
0A0A-AAAA-00AB-AD1X	2017-11-16 15:43:21.524	94367
0A0A-AAAA-00AB-AD1Y	2018-02-23 14:58:59.898	55291
0A0A-AAAA-00AB-AD1Z	2018-02-23 14:43:27.174	28509
0A0A-AAAA-00AC-AD1A	2017-12-18 15:34:42.649	86047
0A0A-AAAA-00AC-AD1B	2018-03-02 09:53:15.491	16387
0A0A-AAAA-00AC-AD1C	2018-03-02 09:51:25.481	24850
