079D-0000-0351-17E2		1	16	2	58	3.44
07CD-0000-030D-EA60		1	22	2	120	1.66
07F7-0000-030F-A51B		9	69	7	903	0.77
080E-0000-0307-A394		2	27	4	93	4.3
082F-0000-0358-A218		1	11	2	19	10.52
0830-0000-0353-D322		1	13	6	45	13.33
0833-0000-0357-690F		2	13	10	26	38.46
085F-0000-0364-6DA1		1	10	5	26	19.23
0861-0000-0353-6FC4		2	22	16	50	32
0873-0000-033C-96A6		1	18	9	47	19.14
0880-0000-0341-CA17		1	15	8	53	15.09
08AC-0000-0303-AB1D		2	24	20	29	68.96
08AF-0000-030D-BD5F		1	25	21	73	28.76
090E-0000-0316-8159		1	19	16	59	27.11
091D-0000-035D-58F2		1	17	3	59	5.08
0927-0000-0348-8478		1	20	0	91	0
0934-0000-034B-65DE	Costume	104	588	130	1601	8.11
093A-0000-0358-2EA9		2	19	12	82	14.63
0967-0000-034B-4970		3	24	23	31	74.19
097B-0000-032D-69C1		1	26	3	80	3.75
097D-0000-033E-4E04	Traditional	6	28	3	235	1.27
0983-0000-0351-C92F		2	25	15	121	12.39
0992-0000-032D-600C		2	18	8	54	14.81
0994-0000-0322-B63E	Traditional	15	79	20	474	4.21
09AC-0000-034B-982B		2	24	15	143	10.48
09B6-0000-034B-4D15		1	16	2	54	3.7
09ED-0000-033F-B7E1		4	17	3	65	4.61
0A0C-0000-033D-0714		3	28	13	49	26.53
0A40-0000-0358-A69E		2	15	3	37	8.1
0A4B-0000-030F-42DB		3	38	14	160	8.75
0A60-0000-0306-DFE1		2	31	4	164	2.43
0A6D-0000-0316-9747		2	36	2	145	1.37
0A6E-0000-032F-44A3		2	26	15	80	18.75
0A70-0000-0320-E3EE		4	46	32	118	27.11
0A7C-0000-0349-0A58		1	16	16	19	84.21
0A84-0000-0339-EBB1	Puzzle	125	887	109	3091	3.52
0A98-0000-0355-EE81		2	12	2	55	3.63
0A9E-0000-0363-810E		1	16	13	29	44.82
0AB3-0000-0339-AAF5		1	18	16	23	69.56
0ABE-0000-0308-7103		4	38	21	60	35
0AC3-0000-033B-57A8		2	22	9	69	13.04
0AE8-0000-035C-5971		3	20	3	114	2.63
0B14-0000-036A-19FE		4	11	11	22	50
0B1B-0000-032E-E6F4	Dash	3	36	5	163	3.06
0B56-0000-0357-6303		1	16	2	35	5.71
0B61-0000-034A-6186		5	33	18	78	23.07
0B64-0000-031C-A3B1		2	33	3	117	2.56
0B69-0000-0324-4E6A	Traditional	13	88	34	247	13.76
